TIMESTAMP,DD,HH,MM,SS,MS,US,CODE
10470163465261,1,5,5,1,634,652,0x0102
10471416169063,1,5,5,14,161,690,0x0103
10471425561681,1,5,5,14,255,616,0x0102
10504691240453,1,5,10,46,912,404,0x0101
10504700635132,1,5,10,47,6,351,0x0102
10519854930423,1,5,13,18,549,304,0x0101
10519864327020,1,5,13,18,643,270,0x0102
10530995421059,1,5,15,9,954,210,0x0103
10531004819220,1,5,15,10,48,192,0x0102
10540258566001,1,5,16,42,585,660,0x0103
10540267964160,1,5,16,42,679,641,0x0102
10544706314837,1,5,17,27,63,148,0x0103
10544715712267,1,5,17,27,157,122,0x0102
10569626789519,1,5,21,36,267,895,0x0301
10569727168846,1,5,21,37,271,688,0x0401
10569826673272,1,5,21,38,266,732,0x0301
10569826675026,1,5,21,38,266,750,0x0301
10572213038222,1,5,22,2,130,382,0x0301
10579538463079,1,5,23,15,384,630,0x0103
10579547860507,1,5,23,15,478,605,0x0102
10581675178390,1,5,23,36,751,783,0x0401
10581687843569,1,5,23,36,878,435,0x0401
10582035440988,1,5,23,40,354,409,0x0401
10583156766203,1,5,23,51,567,662,0x0401
10583169406049,1,5,23,51,694,60,0x0401
10583493673022,1,5,23,54,936,730,0x0401
10586103999253,1,5,24,21,39,992,0x0401
10586117260927,1,5,24,21,172,609,0x0401
10586585918613,1,5,24,25,859,186,0x0301
10586586763491,1,5,24,25,867,634,0x0401
10590250059983,1,5,25,2,500,599,0x0401
10592107273557,1,5,25,21,72,735,0x0401
10592119940910,1,5,25,21,199,409,0x0401
10592766020448,1,5,25,27,660,204,0x0301
10592767523814,1,5,25,27,675,238,0x0401
10594215151082,1,5,25,42,151,510,0x0401
10594216575228,1,5,25,42,165,752,0x0301
10594217011333,1,5,25,42,170,113,0x0401
10594629549249,1,5,25,46,295,492,0x0401
10598977762310,1,5,26,29,777,623,0x0401
10598990487359,1,5,26,29,904,873,0x0401
10599281748888,1,5,26,32,817,488,0x0301
10599293070659,1,5,26,32,930,706,0x0401
10601628038981,1,5,26,56,280,389,0x0101
10601637436414,1,5,26,56,374,364,0x0102
10606575887629,1,5,27,45,758,876,0x0401
10606588370666,1,5,27,45,883,706,0x0401
10608743389644,1,5,28,7,433,896,0x0401
10611689875419,1,5,28,36,898,754,0x0401
10611702358716,1,5,28,37,23,587,0x0401
10623424678689,1,5,30,34,246,786,0x0302
10623424918669,1,5,30,34,249,186,0x0302
10623425158881,1,5,30,34,251,588,0x0302
10623425417940,1,5,30,34,254,179,0x0302
10623425658699,1,5,30,34,256,586,0x0302
10623425918487,1,5,30,34,259,184,0x0302
10623426178509,1,5,30,34,261,785,0x0302
10623426437822,1,5,30,34,264,378,0x0302
10623426600504,1,5,30,34,266,5,0x0101
10623435997991,1,5,30,34,359,979,0x0102
10639098304614,1,5,33,10,983,46,0x0401
10639110792116,1,5,33,11,107,921,0x0401
10673931282731,1,5,38,59,312,827,0x0101
10673940680204,1,5,38,59,406,802,0x0102
10674085983510,1,5,39,0,859,835,0x0301
10674186861797,1,5,39,1,868,617,0x0401
10674481550272,1,5,39,4,815,502,0x0301
10676066131637,1,5,39,20,661,316,0x0103
10676075547025,1,5,39,20,755,470,0x0102
10676220478413,1,5,39,22,204,784,0x0301
10676320759275,1,5,39,23,207,592,0x0401
10676616070459,1,5,39,26,160,704,0x0301
10690879910071,1,5,41,48,799,100,0x0401
10690880018417,1,5,41,48,800,184,0x0301
10690880399522,1,5,41,48,803,995,0x0301
10690882702646,1,5,41,48,827,26,0x0401
10884901465992,1,6,14,9,14,659,0x0301
10884901476086,1,6,14,9,14,760,0x0301
10885407723876,1,6,14,14,77,238,0x0101
10885417139335,1,6,14,14,171,393,0x0102
10885562351154,1,6,14,15,623,511,0x0301
10885662665608,1,6,14,16,626,656,0x0401
10885957951889,1,6,14,19,579,518,0x0301
10889939705677,1,6,14,59,397,56,0x0401
10889939815110,1,6,14,59,398,151,0x0301
10889940364761,1,6,14,59,403,647,0x0301
10889954616333,1,6,14,59,546,163,0x0401
10995537688536,1,6,32,35,376,885,0x0103
10995547113410,1,6,32,35,471,134,0x0102
10995550987161,1,6,32,35,509,871,0x0301
10995550996786,1,6,32,35,509,967,0x0301
10995605256074,1,6,32,36,52,560,0x0101
10995614680956,1,6,32,36,146,809,0x0102
10995618721583,1,6,32,36,187,215,0x0301
10995618731342,1,6,32,36,187,313,0x0301
10995673049830,1,6,32,36,730,498,0x0101
10995682475340,1,6,32,36,824,753,0x0102
10995686346204,1,6,32,36,863,462,0x0301
10995686355744,1,6,32,36,863,557,0x0301
10995740622222,1,6,32,37,406,222,0x0101
10995750047075,1,6,32,37,500,470,0x0102
10995753912341,1,6,32,37,539,123,0x0301
10995753914930,1,6,32,37,539,149,0x0301
10995854344144,1,6,32,38,543,441,0x0401
10995890063256,1,6,32,38,900,632,0x0301
10995890081444,1,6,32,38,900,814,0x0301
10995890185049,1,6,32,38,901,850,0x0301
10995895102406,1,6,32,38,951,24,0x0301
10995895224383,1,6,32,38,952,243,0x0301
10995895244235,1,6,32,38,952,442,0x0301
10995895362252,1,6,32,38,953,622,0x0301
10995895375046,1,6,32,38,953,750,0x0301
10995895502080,1,6,32,38,955,20,0x0301
10995895521936,1,6,32,38,955,219,0x0301
10995895637597,1,6,32,38,956,375,0x0301
10995895643896,1,6,32,38,956,438,0x0301
10995895774697,1,6,32,38,957,746,0x0301
10995895794442,1,6,32,38,957,944,0x0301
10995895913874,1,6,32,38,959,138,0x0301
10995895920175,1,6,32,38,959,201,0x0301
10995896043550,1,6,32,38,960,435,0x0301
10995896063392,1,6,32,38,960,633,0x0301
10995896181510,1,6,32,38,961,815,0x0301
10995896194266,1,6,32,38,961,942,0x0301
10995896319282,1,6,32,38,963,192,0x0301
10995896339383,1,6,32,38,963,393,0x0301
10995896459322,1,6,32,38,964,593,0x0301
10995896472308,1,6,32,38,964,723,0x0301
10995896597770,1,6,32,38,965,977,0x0301
10995896617844,1,6,32,38,966,178,0x0301
10995896735637,1,6,32,38,967,356,0x0301
10995896741935,1,6,32,38,967,419,0x0301
10995896871979,1,6,32,38,968,719,0x0301
